eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal composed for Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů hasHit největší hit, which originatesFrom Starci na chmelu, and Starci na chmelu isType muzikál."
Id2,politics,,,2,"The Ministry of State | foreign affairs of the United States originated from the Czech Republic, and its name is Madeleine Albrightová."
Id3,culture,,,3,"The feast day of Saint Nicholas is associated with giving gifts to children, and its celebration date is 2026-12-05 in the evening."
Id4,geography,,,1,Vodní nádrž Slapy is part of Vltavské Kaskády.
Id5,history,,,4,The literature was published by disidenti in the territory of Čech between 1950-01-01 and 2000-12-31 and was named as samizdat.
Id6,culture,,,3,"Jan Neruda is associated with Malá Strana, has the work tvorba, and has the life život."
Id7,geography,,,1,Prachovské skály are located in CHKO Český ráj.
Id8,culture,,,5,"Karel Gott is of Czech nationality, is a singer, and has the Zlatý slavík award, with an award count of 1, and the Zlatý slavík award has the frequency of most often."
Id9,culture,,,2,"Oldřich Kaiser forms a comedy duo with Jiří Lábus, and they are inseparable."
Id10,geography,,,1,Kladensko is minedResource uhlí.
Id11,politics,,,1,Miroslava Němcová is a member of ODS.
Id12,history,,,1,Miloš Havel founded Barrandovské filmové ateliéry.
Id13,geography,,,2,The Nejvyšší bod Krkonoš has a height of 1603 and is part of Krkonoše.
Id14,history,,,1,The Battle of Slavkov occurred during the Napoleonic Wars.
Id15,history,,,2,"The city Most was demolished for coal mining, and coal is a resource type."
Id16,culture,,,6,"The city of Třebíč consists of a flag, which has three horizontal stripes; the upper stripe has the color red, the lower stripe has the color red, and the middle stripe has the color white, and the middle stripe contains three black Benedictine habits."
Id17,geography,,,2,"Zlín is located in the údolí Dřevnice, and Dřevnice is a type of řeka."
Id18,geography,,,2,"Slanská hora is located in Slaný, and its name is Slanská hora."
Id19,geography,,,1,The mining of coal causes problems in Karviné.
Id20,history,,,2,The Židovská menšina has the religious minority.
Id21,geography,,,2,"Císařský ostrov is the largest island of Praha, and Císařský ostrov is an island type."
Id22,sports,,,1,Kladno is known for hokej.
Id23,politics,,,1,The Ministerstvo zdravotnictví České republiky has location Palackého náměstí.
Id24,sports,,,2,"Petr Mach owns Sparta, and Sparta is a football club."
Id25,culture,,,2,"Granát Turnov produces šperky, and šperky are české granáty."
Id26,culture,,,4,"J. H. Krchovský is the author of Na samém konci, which is a poem written on the facade of the house in the Dutch city Leiden."
Id27,culture,,,5,"Ondřej Sekora is the author of books that feature the character Ferda Mravenec and the character Brouk Pytlík; Ferda Mravenec was inspired by hmyz, and Brouk Pytlík was inspired by hmyz."
Id28,culture,,,2,The film Štěstí has main actors Tatiana Vilhelmová and Pavel Liška.
Id29,sports,,,1,Zdeněk Nejedlý's nickname is Rudý dědek.
Id30,history,,,3,"Karel IV was of Czech nationality, was a king, and built the Hladová zeď."
Id31,geography,,,2,Sněžka has a height of 1603 m n. m.
Id32,culture,,,3,"Jáchym Topol received the Státní cena za literaturu because he is a Citlivý člověk, and a Citlivý člověk is a román."
Id33,geography,,,2,The biggest flood in the Czech Republic occurred in the year 2002 and spanned the last 100 years.
Id34,geography,,,2,Český Těšín is the seat of an organization and is the center of the Polish national minority.
Id35,geography,,,3,"Frýdek-Místek was formed from 5, 2 cities, and 3 settlements."
Id36,history,,,3,"The Pomník is dedicated to Americkým vojákům and is located at Chodské náměstí, which is located in Plzeň."
Id37,culture,,,3,"Prašivka is a character from the Harry Potter world, and Peter Pettigrew transforms into Prašivka, who is a type of rat."
Id38,history,,,2,Jindřich Nový is a regional historian and is a patriot of Karlovy Vary.
Id39,history,,,1,The Battle of Bílá Hora occurred in 1620.
Id40,geography,,,2,Škoda Auto is an automobilka headquartered in Mladá Boleslav.
Id41,culture,,,2,Noc na Karlštejně is a film filmed at Karlštejn.
Id42,other,,,2,"Martin Frič is a director, and Cesta do hlubin študákovy duše is directed by Martin Frič."
Id43,geography,,,2,The river Úpa flows through Trutnov.
Id44,other,,,2,The Měsíční časopis is intended for školáky a předškoláky and is named after mateřídouška.
Id45,other,,,1,Časopis Vesmír informsAbout věda.
Id46,geography,,,2,"Železniční muzeum is located in Lužná u Rakovníka, and Lužná u Rakovníka contains Železniční muzeum."
Id47,culture,,,2,Ušoun Rušoun is the mascot of Český rozhlas Rádio Junior.
Id48,culture,,,2,Honzíkova cesta is an author Bohumil Říha and is a children's book.
Id49,other,,,1,Jim Čert plays an akordeon.
Id50,culture,,,2,"Barbora Tachecí moderates Osobnost Plus, which is a television show."
Id51,other,,,1,Spolek Orel is a Catholic sports organization.
Id52,sports,,,2,Hora Raná is the center of paragliding and sportovní létání.
Id53,culture,,,1,Radio Beat specializes in rock music.
Id54,history,,,4,The Kosti belong to the Mamuti and were found in Vykopávky v Přerově in a significant quantity.
Id55,geography,,,1,The river Vydra is located in Národní Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 was filmed at hrad v Ledči nad Sázavou, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Bob Hýsek popularizes slam poetry.
Id58,geography,,,1,Litomyšl has the symbol lilii.
Id59,culture,,,1,Slavonice is associated with the textile industry.
Id60,geography,,,2,The Ohře flows through Žatec.
Id61,geography,,,1,Jablunkovský výběžek hasLocation Česko slovensko polské trojmezí.
Id62,sports,,,4,"Jaromír Vytopil is a bookseller, is the oldest, is the longest active, and is located in the Czech Republic."
Id63,geography,,,2,"Jizera flows through Turnov, and Turnov has the river Jizera."
Id64,sports,,,2,"The česká hokejová liga is named Maxa liga, and its season started on 2024-08-01."
Id65,culture,,,3,"Humpolec is associated with Hliník, and Hliník is a character from Marečku podejte mi pero, which is a film."
Id66,geography,,,3,"Rybník Bezdrev has a size of 2, is in the country ČR, and is a rybník."
Id67,culture,,,1,postavička Večerníček hasAuthor Radek Pilař.
Id68,geography,,,2,The rozhledna nad Ústí nad Orlicí has the name Stříbrná krasavice and is located in Ústí nad Orlicí.
Id69,culture,,,5,"Michal Horáček published the balady, and Michal Horáček requested the zhudebnění, which was the target of the zhudebnění for the široká veřejnost."
Id70,geography,,,2,"Kralupy nad Vltavou is located on Praha Děčín, and Praha Děčín is a main road."
Id71,culture,,,1,Kateřina Tučková is the author of Žítkovské bohyně.
Id72,geography,,,2,"Bečovská botanická zahrada is located in Bečov nad Teplou, and Bečov nad Teplou contains Bečovská botanická zahrada."
Id73,geography,,,2,"The Sázava is a river, and Havlíčkův Brod is a place where the river flows through."
Id74,geography,,,2,"Teplice has the dominant Doubravka, and Doubravka is a type of hora."
Id75,sports,,,3,"The závod veteránů is held at Českobrodský okruh, started in 2002, and happens regularly."
Id76,culture,,,7,"Luděk Novák is a Czech art historian who is known for publishing studies, and the publishing of studies has the topic of a Czech painter, who includes Mánes, Švabinský, and Machek; Luděk Novák founded the art group Trasa."
Id77,history,,,4,"Vladimír Přibský is a journalist and a playwright, and his real name is Vladimír Řezáč, who was born in Přibyslav."
Id78,geography,,,2,The Římskokatolická farnost is located in Brno venkov and its name is Pravlov.
Id79,geography,,,1,Rybník Španělák is located in Okres Hradec Králové.
Id80,culture,,,3,"Vrásky z lásky was directed by Jiří Strach, the main actor is Radoslav Brzobohatý, and the main actress is Jiřina Bohdalová."
Id81,politics,,,2,Stanislav Rudolfský is the chairperson of Hnutí Dobrých Proměn.
Id82,other,,,5,"Teplická dopravní společnost operates city public transport, operates suburban public transport, and operates regional public transport. The name change date was 2013-01-01, and the new name is Arriva Teplice."
Id83,sports,,,7,"Marek Bárta is of Czech nationality, is a sportsman, specializes in discus throwing, is a multiple-time champion of the Czech Republic, and his discipline is discus throwing, with a personal record of 65.46 meters."
Id84,culture,,,5,"Jan Kameníček is a writer and a playwright, is of Czech nationality, and is described as a successor to Franz Kafka."
Id85,culture,,,5,"Vladimíra Klumparová is a glass artist, is Czech, resides in the USA, and her activity period was from 1985 to 2003."
Id86,sports,,,3,"The česká fotbalová liga is called Fortuna Liga, and it was valid from 2018-01-01 to 2024-12-31."
Id87,history,,,3,Operace Dunaj is a Czech film released in 2009 about the invasion of the Warsaw Pact troops.
Id88,geography,,,2,The Krušné hory are located in northwestern Bohemia and are a mountain.
Id89,geography,,,2,Jezero Most was created by zatopením lomu Most–Ležáky and its opening date was 2020.
Id90,sports,,,4,Ondřej Perušič and David Schweiner became world champions in beach volleyball in 2023.
Id91,culture,,,1,"The word ""robot"" was authored by Josef Čapek."
Id92,history,,,1,The Nuselský most's previous nickname was Most sebevrahů.
Id93,culture,,,1,The first Czech hip hop solo record has the title Frekvence P.H.A.T.
Id94,history,,,6,"Vojtěch Zikmund was a chemist, an entrepreneur, and an industrialist, and he was Czech, and he was the founder of the production and sale of gasoline industry."
Id95,geography,,,1,Svojkovské skály are located in Českolipsko.
Id96,sports,,,4,"David Krejčí is Český, is a skibobista, holds 12 titles, and the 12th title is mistr světa."
Id97,culture,,,2,České ocenění is named Zlatá stuha and its field is children's and youth book creation.
Id98,culture,,,3,"Akademie múzických umění v Praze has faculty DAMU, has faculty FAMU, and has faculty HAMU."
Id99,sports,,,2,The Česká basketbalová federace leads basketbal and operates in Česká republika.
Id100,other,,,3,"Radko John knows diváci, and Radko John appears in Na vlastní oči, which is an investigativní pořad."
Id101,history,,,4,"František Palacký was a Czech historian and a politician, and he was the founder of Matice česká."
Id102,culture,,,4,"Ottův Slovník Naučný is a physical encyclopedia, its language is Czech, it is the largest, and it is the least comprehensive."
Id103,history,,,1,The oldest political party in the Czech lands was founded on 1848-01-01.
Id104,history,,,1,Národní listy was founded by Julius Grégr.
Id105,history,,,1,Hněvín was first mentioned in 1248.
Id106,history,,,4,"František Barvitius is of Československý nationality and is an inženýr, and he contributed to Walter Minor, who is a letecký motor."
Id107,history,,,1,Škoda is the original name of Laurin & Klement.
Id108,history,,,7,"Františka Plamínková was a political person, a journalist, and a feminist, and her nationality was Czechoslovakian. She was active from 1918 to 1938, and she was executed on 1942-06-30 in the Heydrichiáda context."
Id109,politics,,,3,"Adam Vojtěch is a Czech politician, was the former minister of health, and is known for appearing in the SuperStar competition."
Id110,culture,,,6,"Česká situační komedie hasTitle Světáci, which was released in 1969 and features actresses Bohdalová, Jirásková, and Janžurová, who form the famous female trio."
Id111,culture,,,1,Česká hudební cena Anděl is symbolized by soška Anděla.
Id112,culture,,,3,"The series Český seriál Sňatky z rozumu has the theme of české vlastenectví, which is from the 19 století, and addresses the circumstances of tzv. národní obrození."
Id113,geography,,,1,Moravskoslezský kraj has its capital in Ostrava.
Id114,history,,,2,"Karel IV has son Václav IV, and Václav IV is the son of Karel IV."
Id115,culture,,,7,"Český slavík is an annual poll that measures popularity and targets Czech singers, Czech singers, and Czech groups; it is the biggest and was founded in 1996."
Id116,geography,,,5,"The Veletržní palác is located in pražské Holešovice, has a functionalism architectural style, is among the first and largest functionalist buildings in Prague, its original purpose was holding fairs, and its later purpose was the seat of foreign trade businesses."
Id117,culture,,,4,"Výstaviště Praha was founded on 1891-01-01, is a trade fair area, is located in Česko, and is the oldest."
Id118,history,,,5,"Kateřina Bobková-Valentová is a historian, is from Liberec, is of Czech nationality, and received the Cena rektora UK, which was awarded for the daily life of a teacher and student of the Jesuit gymnasium."
Id119,other,,,4,"Petr Rychlý is a herec who moderates Natočto, which is a fun and competitive television show produced by TV Nova."
Id120,history,,,4,"The period of political changes in Czechoslovakia has the name Sametová revoluce, started on 1989-11-17, and ended on 1989-12-29, and its location is Československo."
Id121,history,,,4,"The first American diary in Czech is named Svornost, is in the Czech language, and is located in America, and its first founder is František Boleslav Zdrůbek."
Id122,culture,,,8,"The Časopis is named Nový Prostor, and it is sold by Bezdomovci A Jiní Sociálně Znevýhodnění Lidé. Bezdomovci A Jiní Sociálně Znevýhodnění Lidé receive the Prodejní Cena, which is used for Zabezpečení Vlastních Potřeb, Získání Pracovních Návyků, Obnovení Pracovních Návyků, Znovuzačlenění Do Společnosti, Znovuzačlenění Do Pracovního Života."
Id123,culture,,,2,Jiří Macháček is the singer of kapela Mig 21.
Id124,culture,,,3,"Miroslav Donutil played by Bohouš Šebek, and Bohouš Šebek appears in Pelíšky, and Miroslav Donutil acted in Pelíšky."
Id125,culture,,,2,Rebel is located in Havlíčkově Brodě and Rebel is a brewery.
Id126,culture,,,1,The StarDance is moderated by a duo when the stars dance.
Id127,culture,,,3,Rumcajs is a kreslený loupežník and is associated with Jičín.
Id128,culture,,,3,"Slunce seno jahody is a komedie directed by Zdeněk Troška, set in Hoštice."
Id129,geography,,,3,"The Právnická fakulta is part of Univerzita Karlova, and it is located at Čechův most, which is located in Praha."
Id130,geography,,,1,The Krkonošský národní park has the highest peak Sněžka.
Id131,geography,,,1,Antonín Dvořák was born in Nelahozeves.
Id132,geography,,,1,Domažlice is located in Plzeňský kraj.
Id133,geography,,,2,Karel Poláček authored Bylo nás pět and was born in Rychnov nad Kněžnou.
Id134,geography,,,1,Orlické hory has the highest peak Velká Deštná.
Id135,history,,,1,Poslanecká sněmovna Parlamentu České republiky has headquarters at Thunovský palác.
Id136,geography,,,1,Vysočina has the highest peak Javořice.
Id137,culture,,,3,"bankovka hasValue 500, hasCurrency Kč, and depictsPerson Božena Němcová."
Id138,geography,,,2,The Vodní nádrž has the name Rozkoš and is located near Babiččino údolí.
Id139,culture,,,2,"Divadlo Semafor is located in Dejvice, which is a city district."
Id140,geography,,,1,"Dlouhé stráně is a type of power plant, a transfer power plant."
Id141,geography,,,1,Nový Bor is famous for the glass industry.
Id142,geography,,,2,"Macocha is part of Punkevní jeskyně, and Punkevní jeskyně is a complex of caves."
Id143,geography,,,3,Prachovské skály is a natural reserve located in Český ráj and is known for sandstone rock cities.
Id144,geography,,,2,The Baťův kanál connects Otrokovice and Sudoměřice.
Id145,sports,,,3,"The Zlatá podkova has the event type jezdecká všestrannost and spřežení, and its location is Humpolec."
Id146,geography,,,1,Muzeum rekordů a kuriozit is located in Pelhřimov.
Id147,politics,,,4,Jindřich Vařeka was the mayor of Příbram from 2014-01-01 to 2019-12-31.
Id148,geography,,,2,"Horoušany is located in Praha východ, and Praha východ is a type of okres."
Id149,geography,,,1,Kutná Hora flows through Vrchlice.
Id150,other,,,2,"Česko uses the PausalRateFor other non-craft trades, and other non-craft trades have a PausalRateFor Expenses of 60."
Id151,culture,,,4,"Čeština 2.0 is a type of internet dictionary founded by Martin Kavka, which collects new Czech expressions and new words."
Id152,sports,,,1,Maxa liga has the sport type lední hokej.
Id153,other,,,2,"Václav Klaus wrote Modrá, nikoli zelená planeta, and Modrá, nikoli zelená planeta is a book."
Id154,geography,,,3,"Žimutice is located in České Budějovice, and České Budějovice is a type of okres."
Id155,geography,,,3,"Olovnice is located in Mělník, and Olovnice is a type of obec, while Mělník is a type of okres."
Id156,other,,,3,"David's cultivar is apple, his breeding location is Czechia, and his ripening month is December."
Id157,culture,,,4,"František Kupka is the author of Conception/Danae (Početí), which was auctioned in the Česká republika for 126500000, and is the most expensive work of all times."
Id158,culture,,,4,"The Fotograf Festival is a fotografický festival that takes place in Praha, started in 2011, and is held annually."
Id159,geography,,,3,"Kladníky is located in Přerov, and Přerov is a district."
Id160,sports,,,4,"Jan Šilinger is Czech, is a football defender, played for FC Vysočina Jihlava, and played in the year 2024."
Id161,geography,,,3,"Kostel svaté Heleny is located in Krásný Les, Česko, and is unique."
Id162,geography,,,1,CHKO Český kras is partially located in Praha.
Id163,geography,,,2,"Lažany is located in Strakonice, and Strakonice is a type of okres."
Id164,history,,,4,"The Severní dráha císaře Ferdinanda is a steam railway, it is located in the Czech lands, and it is the first."
Id165,sports,,,3,"The company PSJ is the majority owner and general sponsor of FC Vysočina Jihlava, and FC Vysočina Jihlava is a football club."
Id166,culture,,,2,"The Festival Votvírák is held annually at the field of the former military airfield Boží Dar, which is located in the decommissioned military training area Milovice-Mladá."
Id167,other,,,5,"Živa is a natural science journal, its language is Czech, its focus is popularization of science, its status is still coming out, and it is the oldest."
Id168,culture,,,5,"The Památný strom is a tree, is protected by local legal regulations, and has reasons for protection including extraordinary growth, age, and social importance."
Id169,geography,,,2,"The area Škoda Auto v Mladé Boleslavi has a highway D10, and the highway D10 passes near the area Škoda Auto v Mladé Boleslavi."
Id170,other,,,1,The group Katapult has BassGuitarist Jiří Šindelář.
Id171,culture,,,1,The Vertigo quintet plays jazz.
