eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal komponoval pre Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů má hit, ktorý pochádza od Starci na chmelu, a Starci na chmelu je muzikál."
Id2,politics,,,2,Ministryně zahraničí Spojených států má originCountry Česko a name Madeleine Albrightová.
Id3,culture,,,3,"Svätek svatého Mikuláše je spojený s rozdávaniem dárků dětem, oslava sa v deň 2026-12-05 večer."
Id4,geography,,,1,Vodní nádrž Slapy je súčasťou Vltavských Kaskád.
Id5,history,,,4,"Literatura bola publicada disidenti, v území Čech, v období 1950-01-01 2000-12-31 a nazývaná samizdat."
Id6,culture,,,3,"Jan Neruda je spojený s Malá Strana, má prácu tvorba a má život."
Id7,geography,,,1,Prachovské skály sú umiestnené v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, ktorý získal Zlatý slavík nejvíckrát, pričom jeho počet odmien je 1."
Id9,culture,,,2,"Oldřich Kaiser vytvára komediálny dvojicu s Jiří Lábus, a oni sú neoddeliteľní."
Id10,geography,,,1,Kladensko má uhlí.
Id11,politics,,,1,Miroslava Němcová je členka ODS.
Id12,history,,,1,Miloš Havel je založil Barrandovské filmové ateliéry.
Id13,geography,,,2,Nejvyšší bod Krkonoš má výšku 1603 a je súčasťou Krkonoše.
Id14,history,,,1,Bitva u Slavkova nastala počas Napoleonských váliek.
Id15,history,,,2,"Mesto Most má dôvod demolácie těžba uhlí, ktorá je typom zdroja uhlí."
Id16,culture,,,6,"Znak města Třebíč consistsOf štít, štít hasDivision tři vodorovná pole, horní pole hasColor červená, dolní pole hasColor červená a střední pole hasColor bílá, a střední pole contains tři černé benediktinské kápě."
Id17,geography,,,2,"Zlín je v údolí Dřevnice, a Dřevnice je řeka."
Id18,geography,,,2,Slanská hora je nachádza v Slaný a jej meno je Slanská hora.
Id19,geography,,,1,Těžba uhlí má problémy v Karviné.
Id20,history,,,2,"Kolín má Židovskú menšinu, a Židovská menšina je religiózna menšina."
Id21,geography,,,2,Císařský ostrov je najväčší ostrov Prahy a je ostrov.
Id22,sports,,,1,Kladno je známe pre hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má lokalitu Palackého náměstí.
Id24,sports,,,2,"Petr Mach vlastní Sparta, a Sparta je fotbalový klub."
Id25,culture,,,2,"Granát Turnov produkuje šperky, ktoré sú české granáty."
Id26,culture,,,4,"J. H. Krchovský je autorOf báseň, ktorá je typu báseň, ktorú je napisaná na fasáde domu, ktorý sa nachádza v nizozemskom meste Leiden."
Id27,culture,,,5,"Ondřej Sekora je autor knih, ktoré majú ako postavy Ferda Mravenec a Brouk Pytlík, pričom Ferda Mravenec je napojený na hmyz a Brouk Pytlík je napojený na hmyz."
Id28,culture,,,2,Film Štěstí má hlavnú aktórkou Tatiana Vilhelmová a hlavným aktórom Pavel Liška.
Id29,sports,,,1,Zdeněk Nejedlý má nickname Rudý dědek.
Id30,history,,,3,"Karel IV je český král, ktorý postavil Hladovou zed."
Id31,geography,,,2,Sněžka má výšku 1603 m n. m.
Id32,culture,,,3,"Jáchym Topol stratil Státnu cenu za literaturu pre dôvod Citlivý člověk, ktorý je román."
Id33,geography,,,2,Největší povodeň v ČR nastala v roku 2002 a trvala posledních 100 let.
Id34,geography,,,2,Český Těšín je sede organizácie a je centrom polskej národnostnej menšiny.
Id35,geography,,,3,"Frýdek-Místek je vytvorený z 5, 2 měst a 3 obcí."
Id36,history,,,3,"Pomník je dedicadovaný Americkým vojákům, je nachodské náměstí a nachodské náměstí je nachodské v Plzni."
Id37,culture,,,3,"Prašivka je postava z sveta Harryho Pottera, Peter Pettigrew sa transformuje na Prašivku, a Prašivka je typ krysy."
Id38,history,,,2,Jindřich Nový je regionální historik a je patriot Karlovy Vary.
Id39,history,,,1,Bitva na Bílé hoře nastala v roku 1620.
Id40,geography,,,2,"Škoda Auto je automobilka, ktorá má svoje hlavné kancelárie v Mladé Boleslav."
Id41,culture,,,2,Noc na Karlštejně je filmingLocation Karlštejn a jeA film.
Id42,other,,,2,Martin Frič režisér a cesta do hlubin študákovy duše je vedená Martin Frič.
Id43,geography,,,2,"Trutnov má ріčku Úpa, a Úpa tečie cez Trutnov."
Id44,other,,,2,Měsíční časopis je určený pro školáky a předškoláky a má jméno mateřídouška.
Id45,other,,,1,Časopis Vesmír informuje o věda.
Id46,geography,,,2,"Železniční muzeum obsahuje Lužná u Rakovníka, a Železniční muzeum je umiestnené v Lužná u Rakovníka."
Id47,culture,,,2,"Český rozhlas Rádio Junior má hasMascot Ušoun Rušoun, a Ušoun Rušoun je isMascotOf Český rozhlas Rádio Junior."
Id48,culture,,,2,Honzíkova cesta je autor Bohumil Říha a je typ dětské kníha.
