eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce se nachází v Okres Ilava.
Id1,geography,,,1,UFO most byl dokončen v roce 1972.
Id2,history,,,1,Ján Golian vydal pořadí start Slovenské Národné Povstání.
Id3,geography,,,3,"Zvolen má řeku Hron, má řeku Slatina a má řeku Zolná."
Id4,geography,,,2,Ropná rafinéria je nachází v Slovensku a Slovensko má jednu ropnú rafinérii.
Id5,politics,,,2,Robert Mistrík se vybral z kandidatury na prezidentské volby 2019 v souvislosti s Zuzanou Čaputovou.
Id6,culture,,,1,Andrej Sládkovič je originalName Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat je žánr folk.
Id8,geography,,,3,"Banská Štiavnica je známá pro těžbu, těžba je typem surovin, a kovy mají primární příklad striebro."
Id9,geography,,,1,Bardejov je centrum Horního Šariše.
Id10,geography,,,2,Slovensko plánuje spolupráci s Maďarem a má plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile je z Prešova.
Id12,geography,,,2,"Gbeliansky potok má jako zdrojové místo Gbeľany, a Gbeľany je obec."
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore má barokový architektonický styl.
Id14,geography,,,3,"Zrúcanina je nachází v Obec Podbranč, je nazvan Hrad Branč a je typem Zrúcanina."
Id15,culture,,,1,Slovenský Strom roka rozhoduje o vítěži veřejným hlasováním.
Id16,sports,,,1,Klaudia Medlová soutěží v snowboardingu.
Id17,culture,,,2,Mladé letá je Slovenské nakladateľstvo detskej knihy a je vydavateľstvo.
Id18,politics,,,2,Andrej Stančík je členem politické strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Nemeckí vojaci zničíli částečně spálenou obec Liptovská Teplička.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice je nachází na Hlavní ulice, která je nacházena v městě Košice."
Id21,geography,,,1,Handlová má hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 3 fakulty.
Id23,sports,,,1,Tipos Extraliga je ľadový hokej.
Id24,politics,,,2,Jaroslav Haščák odpočívá a to vede k Kauze Gorila.
Id25,other,,,2,Tempo Supermarket patří k COOP Jednota a COOP Jednota je slovenský predajca.
Id26,politics,,,3,"Politický spor se jmenuje pomlčková vojna, jehož téma je názov Česko-Slovenska a začal 1990-01-01."
Id27,history,,,3,"Belo IV byl krlem Uhorska, prvý mongolský vpád nastal během jeho vlády a byl cílen na Uhorsko."
Id28,history,,,1,Múzeum obetí komunizmu je nachází v Košici.
Id29,history,,,3,"Piešťanský Grand Hotel Royal byl během období 1948-1989 Grand Hotel Slovan, který později získal jméno Slovan."
Id30,culture,,,1,Slovenská kapela Fragile používá hudební nástroje.
Id31,politics,,,2,"Vladimír Mečiar má styly vlády mečiarizmus, který trval v období 1992-01-01 1998-12-31."
