eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer komponoval pre Moravské divadlo Olomouc.
Id1,culture,,,3,"Oldřich Kaiser Jiří Lábus má hit, ktorý pochádza od Starci na chmelu, a Starci na chmelu je muzikál."
Id2,politics,,,2,Ministryně zahraničí Spojených států má originCountry Horoušany a name Madeleine Albrightová.
Id3,culture,,,3,"Svätek svatého Mikuláše je spojený s rozdávaniem dárků dětem, oslava sa koná v 2006-01-01 a čas oslavy je večer."
Id4,geography,,,1,Lužná u Rakovníka je súčasťou Vltavských Kaskád.
Id5,history,,,4,"Literatura bola publicada disidenti, v Brněnský kraj, v období 1950-01-01 až 2000-12-31 a byla nazvána samizdat."
Id6,culture,,,3,"Marie Čermínová je spojená s Malá Strana, má prácu tvorba a má život."
Id7,geography,,,1,Prachovské skály sú umiestnené v historickom jádre města Prostějova.
Id8,culture,,,5,"Martin Kavka je český zpěvák, ktorý získal Zlatý slavík nejvíckrát."
Id9,culture,,,2,Oldřich Kaiser formsComedyDuoWith Jiří Lábus a Radek Pilař je v nespojivosti.
Id10,geography,,,1,Československo má uhlí.
Id11,politics,,,1,sv. Jan Nepomucký je členem ODS.
Id12,history,,,1,Barrandovské filmové ateliéry založil Gustáv Husák.
Id13,geography,,,2,Kladníky má výšku 1603 a je súčasťou Krkonoše.
Id15,history,,,2,"Rabí má ako dôvod demolácie těžba uhlí, ktorá je typom zdroja uhlí."
Id17,geography,,,2,"Česká republika má location údolí Dřevnice, a Dřevnice je type řeka."
Id18,geography,,,2,Dejvice je nachádza v Slaný.
Id19,geography,,,1,těžba uhlí je v Brně.
Id20,history,,,2,"Československo má Židovskú menšinu, ktorá je religiózna menšina."
Id21,geography,,,2,Císařský ostrov je najväčší ostrov Československa a je ostrov.
Id22,sports,,,1,Ohře je známa za hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má lokalitu Červený hrádek.
Id24,sports,,,2,"Božena Němcová vlastní Sparta, a Sparta je fotbalový klub."
Id26,culture,,,4,"J. H. Krchovský je autorOf báseň, ktorá je typu báseň, ktorú je napisaná na fasáde domu, ktorý je umiestnený v Prahe."
Id27,culture,,,5,"Tomáš Baťa je autor knih, ktoré majú ako postavy Ferda Mravenec a Brouk Pytlík, pričom Ferda Mravenec je napojený na hmyz a Brouk Pytlík je napojený na hmyz."
Id28,culture,,,2,Film Štěstí má hlavnú aktórkou Tatiana Vilhelmová a Gustáv Husák.
Id29,sports,,,1,Jáchym Topol je Rudý dědek.
Id30,history,,,3,"Samková je český král, ktorú postavili Hladová zeď."
Id31,geography,,,2,Sněžka má výšku 12 m n. m.
Id32,culture,,,3,"Jiří Strach receivedAward Státní cena za literaturu, pretože je awardReason Citlivý člověk, ktorý isA román."
Id33,geography,,,2,Největší povodeň v ČR nastal v roku 2002 a trval 5.
Id34,geography,,,2,Vltava je sedištem organizácie a je centrom polskej národnostnej menšiny.
Id35,geography,,,3,Frýdek-Místek je vytvorený z 5 a 2 měst.
Id36,history,,,3,"Pomník je dedicadovaný Americkým vojákům, je nachádza v Česku a Česko je nachádza v Plzni."
Id37,culture,,,3,"Prašivka je postava z Světa Harryho Pottera, a Popelka sa premení na Prašivku, ktorá je typ krysy."
Id38,history,,,2,Jindřich Nový je regionální historik a je patriot U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře nastala v roku 2013-12-31.
Id40,geography,,,2,"Škoda Auto je automobilka, ktorá má svoje hlavné kancelárie v Československu."
Id41,culture,,,2,Noc na Karlštejně je filmingLocation Malše a jeA film.
Id42,other,,,2,"Franz Kafka režisér, a cesta do hlubin študákovy duše je vedená Franz Kafka."
Id43,geography,,,2,"Trutnov má ріčku Hradec Králové, a Hradec Králové tečie cez Trutnov."
Id46,geography,,,2,"Železniční muzeum nachádza sa v rudnom dôle u Harrachova, ktorý obsahuje železniční muzeum."
Id48,culture,,,2,"Marek Bárta napísal Honzíkova cesta, ktorá je dětská kníha."
Id49,other,,,1,Krok hraje akordeon.
Id50,culture,,,2,"Václav Havel moderuje Osobnost Plus, ktoré je pořad v rozhlase."
Id52,sports,,,2,Nádraží Veleslavín je centrom paraglidingu a centrom sportovného létání.
Id54,history,,,4,"Vykopávky v Přerově sú v Prahe, kosti sa nachádzajú v Vykopávky v Přerově, kosti patria k Mamuti a kosti sú značné množství."
Id55,geography,,,1,Českobrodský okruh je umiestnený v Národním parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 je natočené v Vltavě, ktorá je nachádza v Ledči nad Sázavou."
Id57,culture,,,1,Švabinský popularizuje slam poetry.
Id58,geography,,,1,Území Německa má symbol lilii.
Id59,culture,,,1,Vršovice je spojená s textilním průmyslem.
Id60,geography,,,2,Žatec má ріčku okres Beroun a okres Beroun tečie cez Žatec.
Id61,geography,,,1,Jablunkovský výběžek má lokalitu Podhůří Orlických hor.
Id62,sports,,,4,"František Boleslav Zdrůbek je knihkupec, je najstarší a má najdlhšiu aktívnu dobu a je z Česká republiky."
Id63,geography,,,2,"Praha má řeku Jizera, ktorá tečie cez Prahu."
Id64,sports,,,2,"Česká hokejová liga má novú název od sezóny, a jej sezóna začala 2018-01-01."
Id65,culture,,,3,"Humpolec je spojený s Jiráskovou, ktorá je postava z filmu Marečku podejte mi pero."
Id66,geography,,,3,"Rybník Bezdrev má veľkosť podľa rankBySize posledných 100 let, je v ČR a je kategóriou rybník."
Id67,culture,,,1,postavička Večerníček má spisovateľa Adam Vojtěch.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí má název Stříbrná krasavice a nachádza sa v Zámku Zásmuky.
Id69,culture,,,5,"Praotec Čech ledPeople do země zaslíbené zveřejnil balady, ktoré vyžadovali zhudebnění, a široká veřejnost je cieľom tohto zhudebnění balad."
Id70,geography,,,2,"Praha je nachádza na Praha Děčín, a Praha Děčín je hlavní trati."
Id71,culture,,,1,Žítkovské bohyně author Bob Hýsek.
Id72,geography,,,2,"Bečovská botanická zahrada obsahuje Lipý, a Bečovská botanická zahrada je umiestnená v Lipý."
Id73,geography,,,2,Československo je river a Havlíčkův Brod tečie cez Československo.
Id74,geography,,,2,"Teplice má dominantnou Vysočinu, ktorá je typom hory."
Id75,sports,,,3,"Závod veteránů sa konal v Sudoměřicach, začal v roku 2002 a je pravidelný."
Id76,culture,,,7,"David Krejčí je český historik umění, který je známý pro publikování studií, a publikování studií má téma český malíř, který zahrnuje Mánes, Švabinský a Machek, a David Krejčí založil výtvarnou skupinu Trasa."
Id77,history,,,4,"Vladimír Přibský je žurnalista a dramatik, jeho reálny názov je Kateřina Hešová, a Kateřina Hešová je narodená v Přibyslavi."
Id78,geography,,,2,Římskokatolická farnost je nachádza v Brno venkov a jej meno je Slaný.
Id79,geography,,,1,Rybník Španělák je umiestnený v Mladé Boleslav.
Id80,culture,,,3,"Vrásky z lásky je režisériem Jiří Strach, hlavnou aktórkou Jiřina Bohdalová a hlavným aktórom Jiří Menzel."
Id81,politics,,,2,Karel Plíhal je predsedou Hnutí Dobrých Proměn.
Id82,other,,,5,"Teplická dopravní společnost operuje městskou hromadnou dopravu, příměstskou hromadnou dopravou a regionální hromadnou dopravou, její změna názvu nastala v roce 2000 a její nový název je Arriva Teplice."
Id83,sports,,,7,"Arnošt Lustig je sportovec, jeho národnosť je Český, jeho špecializácia je diskař, a jeho disciplína je hod diskem, pričom jeho osobné rekordy sú 65.46 metry a jednotka je metry, a je tiež několikanásobný mistr České republiky."
Id84,culture,,,5,"Jiří Šindelář je spisovatel a dramatik, je český a je pokračovatel Franz Kafka."
Id85,culture,,,5,"Václav Havel je český sklářská výtvarnice, ktorý žil v USA a jeho aktívna časť bola od roku 1985 do roku 2003."
