eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce se nachází v Bralnici.
Id1,geography,,,1,UFO most byl dokončen v roce 11-09-2025.
Id2,history,,,1,Zorka Machová vydala pořadí start Slovenské Národné Povstání.
Id3,geography,,,3,"Zvolen má řeku Hron, Zvolen má řeku Habovica a Zvolen má řeku Zolná."
Id4,geography,,,2,"Ropná rafinéria je nachází v Slovensku, a Slovensko má 812 ropná rafinérny."
Id5,politics,,,2,Robert Mistrík se vybral z kandidatury na prezidentské volby 2019 v souvislosti s Monika Fialovou.
Id6,culture,,,1,Andrej Sládkovič originalName Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je známá pro těžbu, těžba je typem surovin, a kovy mají jako primární příklad stříbro."
Id9,geography,,,1,Bardejov je centrum Sitnicy.
Id10,geography,,,2,Slovensko plánuje spolupráci se Studenickou dolinou a plánuje projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile je z Ostrolúcka Ves.
Id12,geography,,,2,"Veľký Kôprovec je umístěn v Gbeľany, která je obec."
Id14,geography,,,3,"Zrúcanina je nachází v Obec Podbranč, je nazváno Dúbravské Zálesie a je typem Zrúcaniny."
Id16,sports,,,1,Renáta Chovancová soutěží v snowboardingu.
Id18,politics,,,2,Vojtech Krupa je členem politické strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Nemeckí vojaci byly částečně spáleni Bystrickou kotlinou.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice je nachází na Hlavní ulici, která je nacházena v Dúbravské Zálesi."
Id21,geography,,,1,Studenická dolina má hnedé uhlí.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7203 fakulty.
Id24,politics,,,2,Cyprián Duchoň odpočívá a to vede k Kauze Gorila.
Id26,politics,,,3,"Politický spor se jmenuje pomlčková vojna, jehož téma je názov Česko-Slovenska a začal 18-02-1997."
Id27,history,,,3,"Belo IV byl krlem Ostré Lúka, prvý mongolský vpád se odehrál během vlády Bela IV a cílem prvního mongolského vpádu byla Ostrá Lúka."
Id28,history,,,1,Múzeum obetí komunizmu je nachází v Zlaté dolince.
Id29,history,,,3,"Piešťanský Grand Hotel Royal byl během období socialismus jménem Grand Hotel Slovan, a později se změnil na Slovan."
Id31,politics,,,2,"Ernestína Baraníková má mečiarizmus, který trval v období 1992-01-01 1998-12-31."
Id32,geography,,,2,Okres Čadca má hranice Rovná dolina a Poľsko.
Id34,culture,,,3,"Dračie srdce je film, který byl natočen v Machnici, kde se nachází hrad."
Id35,culture,,,3,"Emília Bukovská je maľba, ilustrácia a grafika."
Id37,culture,,,1,Marián Šoltis složil Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má své sídlo v Kamenném Vrbovku.
Id39,geography,,,2,"Kamenný Potok má největší osadu v podbrezích, a podbrezích je největší osada Kamenného Potoku."
Id40,geography,,,1,Stráže nad Myjavou byly spojeny se Studenô Zábrežie.
Id41,culture,,,2,Slovenská televízia a rozhlas nahradila organizaci Rozhlas a televízia Slovenska v roce 07-04-2026.
Id42,other,,,1,Bertold Šarina se zaměřuje na klimatologii.
Id43,politics,,,3,"Blažena Hološová je prezident Slovenska, založila Za ľudí, která je politický party."
Id45,culture,,,3,"Obálky kníh Harry Potter v slovenskom vydaní má designér Sávio Ostrolucký, jsou v jazyce slovenský a patří do série Harry Potter."
Id46,politics,,,1,Daňové identifikačné číslo má šest sedmdesét devět číslic.
Id47,geography,,,2,"Pavelková je nachází v Studenickém kraji, který je geomorfologickým podcelkem."
Id48,sports,,,1,Medzinárodní maratón mieru v Košiciach byl založen Radovan Ondrušem.
Id49,geography,,,1,Horná Bystrička je sopečný.
Id50,history,,,3,Academia Istropolitana byl založen Ľudovítem Chren v Bratislave a Ľudovít Chren byl králem.
Id51,geography,,,2,"Námestie Milana Rastislava Štefánika je nachází v Kopanické rovině, která má jako centrum Námestie Milana Rastislava Štefánika Kopanickou rovinu."
Id52,geography,,,1,Krahuľský vrch leží nad Vrbový štít.
Id53,history,,,2,Nemeckí kolonisti začali osadit Vrchovou Studnici v 13. století.
Id54,geography,,,2,"Ľubochňa je nachází v Sokolia skala, která je typem okresu."
Id55,culture,,,3,"Dr. Tomáš Stach je Doktori, který je Slovak TV Series a Ondrej König hrál roli Dr. Tomáše Stacha."
Id56,culture,,,4,"Slovenský dokumentárny film má název Cesta Magdalény Robinsonovej, který byl vydán v roce 15-10-2026 a zobrazuje životný príbeh židovskej fotografky z obdobia Slovenského štátu."
Id57,culture,,,5,"Generácia NULA byla založena 2011-01-01, je typu zoskupení básnikov, byla založena Peter Papšo a Ferko Bulko a nachází se v Banská Bystrica."
Id58,history,,,3,"Banská Štiavnica je lokalitou, kde byla prvá banská škola v Uhorsku, která byla založena 06-11-2000 a je v Uhorsku."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia má v sieti Slnko v sieti, která začala v roce 1999, a slouží k filmovému ocenění a umeleckým výkonom v oblasti slovenské kinematografie."
Id60,culture,,,5,"Vratko Bohunický je slovenská herečka, která získala Český lev za úlohu ve filmu Děvčátko, který je typu film."
Id61,history,,,6,"Martin Baláž má bydliště v Bytči, je znám jako bojovník proti Turkom, podporuje Slováky a protestantismus, má roli radce a je poradcem Rudolf II."
Id62,culture,,,4,"Fontána pre Zuzanu je hudobný film, který byl vydán v roce 1986, je založen na románu Eleonóry Gašparovej a jeho hudebním kompozitorem je František Šebesta."
