eid,category,shape,shape_type,size,sentence,reasoning
Id0,geography,,,1,Bratislava is located in Okres Ilava.,"We need to produce a fluent English sentence expressing the triple: ""Bratislava | locatedIn | Okres Ilava"". So subject: Bratislava (proper name). Predicate: locatedIn => ""is located in"". Object: Okres Ilava (likely a district). It's not a proper named entity? It seems like a proper name (Okres Ilava). Keep as is. So sentence: ""Bratislava is located in Okres Ilava."" That's it."
Id1,geography,,,1,UFO most was completed in 2024.,"We need to produce a fluent English sentence expressing the triple: subject ""UFO most"" | predicate ""completionYear"" | object ""2024"". So we need to translate subject: ""UFO most"" is not a proper named entity? It looks like a phrase maybe a project name? It's not a known proper name, but could be considered a proper name? The instruction: ""Translate any entity that is NOT a proper named entity into English (e.g. common nouns, roles, generic descriptions). Keep proper named entities (names of people, places, organisations, works, etc.) in their original form."" ""UFO most"" seems like a title maybe of a building? Not sure. It's ambiguous. Probably treat as a proper named entity? It's capitalized ""UFO"" and ""most"". Could be a project name. I'd keep as is. Predicate ""completionYear"" -> ""was completed in"". So sentence: ""UFO most was completed in 2024."" That expresses the fact. Ensure no extra info. Output only sentence."
Id2,history,,,1,Ladislav Novomeský issued an order for the start of Slovenské Národné Povstanie.,"We need to produce a single fluent English sentence (or two short ones) that expresses the fact: Ladislav Novomeský issued order start Of Slovenské Národné Povstanie. We need to translate predicate ""issuedOrder"" to English: ""issued an order"". The object is ""start Of Slovenské Národné Povstanie"". That seems to be a phrase: ""start Of Slovenské Národné Povstanie"". Should we treat ""Slovenské Národné Povstanie"" as a proper name (Slovak National Uprising). The phrase ""start Of"" maybe indicates the order is about the start of the uprising. So we need to say: Ladislav Novomeský issued an order to start the Slovenské Národné Povstanie. But we must not add facts not present. The triple says the order is ""start Of Slovenské Národné Povstanie"". So we can phrase: Ladislav Novomeský issued an order for the start of Slovenské Národné Povstanie. That uses all facts. Make sure we keep proper names unchanged: ""Ladislav Novomeský"", ""Slovenské Národné Povstanie"". Use ""issued an order"". Yes. Thus final answer: ""Ladislav Novomeský issued an order for the start of Slovenské Národné Povstanie."""
Id3,geography,,,3,"Zvolen has the rivers Hron, Pezinok, and Zolná.","We need to produce a single fluent English sentence (or two short ones) that expresses all facts: Zvolen hasRiver Hron, Zvolen hasRiver Pezinok, Zvolen hasRiver Zolná. So Zvolen has three rivers: Hron, Pezinok, and Zolná. Must translate predicate ""hasRiver"" to English: ""has the river"". Could say ""Zvolen has the rivers Hron, Pezinok, and Zolná."" That includes all three. Ensure we don't add extra info. That's fine. Output only the sentence."
Id4,geography,,,2,"Vozovňa Solivar has 1 oil refinery, and the oil refinery is located in Vozovňa Solivar.","We need to produce fluent English prose expressing both triples. Triples: 1. ""Vozovňa Solivar | hasNumberOfOilRefineries | 1"" 2. ""ropná rafinéria | isLocatedIn | Vozovňa Solivar"" We need to translate predicate: ""hasNumberOfOilRefineries"" -> ""has 1 oil refinery"" or ""has a number of oil refineries equal to 1"". Also ""isLocatedIn"" -> ""is located in"". The subject ""Vozovňa Solivar"" is a proper name, keep as is. The subject ""ropná rafinéria"" is not a proper name; translate to English: ""oil refinery"". Actually ""ropná rafinéria"" is Slovak for ""oil refinery"". So we translate to ""oil refinery"". So second triple: ""The oil refinery is located in Vozovňa Solivar."" First triple: ""Vozovňa Solivar has 1 oil refinery."" That already conveys both facts? It says it has 1 oil refinery, which implies there is an oil refinery located there, but we need to also state the location fact. So we can combine: ""Vozovňa Solivar has one oil refinery, and the oil refinery is located in Vozovňa Solivar."" That repeats but okay. We must not add extra info. Use ""one"" for 1. Keep numbers exactly as given: ""1"". Should we write numeral ""1""? The requirement: preserve numbers exactly as given. So we should use ""1"" not ""one"". So: ""Vozovňa Solivar has 1 oil refinery, and the oil refinery is located in Vozovňa Solivar."" That includes both facts. Ensure no extra. Good."
Id5,politics,,,2,"Robert Mistrík withdrew his candidacy in the 2019 presidential election, doing so in favor of Ľubomír Lisý.","We need to produce fluent English prose expressing both triples. Triples: - Subject: Robert Mistrík - Predicate: withdrewCandidacyIn - Object: prezidentské voľby 2019 So ""Robert Mistrík withdrew his candidacy in the 2019 presidential election."" The object is in Slovak: ""prezidentské voľby 2019"". Should translate to English: ""the 2019 presidential election"". Good. Second triple: - Robert Mistrík withdrewInFavorOf Ľubomír Lisý So ""Robert Mistrík withdrew in favor of Ľubomír Lisý."" Combine into one sentence or two short ones. Could be: ""Robert Mistrík withdrew his candidacy in the 2019 presidential election, doing so in favor of Ľubomír Lisý."" That includes both facts. Ensure no extra info. That seems fine. Check: we used ""withdrew his candidacy"" matches predicate withdrewCandidacyIn. Good. ""in the 2019 presidential election"" matches object. ""withdrew in favor of Ľubomír Lisý"" matches second. The combined sentence includes both. No extra facts. Thus output that sentence."
Id6,culture,,,1,Juraj Farkaš's original name is Andrej Braxatoris.,"We need to produce a fluent English sentence expressing the triple: Subject: Juraj Farkaš, predicate: originalName, object: Andrej Braxatoris. We need to translate predicate ""originalName"" into English, likely ""originally named"" or ""original name is"". So we can say: ""Juraj Farkaš's original name is Andrej Braxatoris."" That includes all facts. No extra info. Output only sentence."
Id8,geography,,,3,"Slovenská Ľupča is known for mining, which involves the resource type metals, and the primary example of those metals is silver.","We need to produce fluent English prose expressing all facts. Triples: 1. Slovenská Ľupča | knownFor | Mining 2. Mining | resourceType | Kovy 3. Kovy | primaryExample | Striebro We need to translate non-proper entities: ""Mining"" is a common noun? It's a concept, keep as ""mining"". ""Kovy"" is Czech/Slovak for ""metals"". It's not a proper name, so translate to English: ""metals"". ""Striebro"" is Slovak for ""silver"". Not a proper name, translate to English: ""silver"". So we need to express: - Slovenská Ľupča is known for mining. - Mining's resource type is metals. - Metals' primary example is silver. Combine into one or two sentences. Possible: ""Slovenská Ľupča is known for mining, which involves the resource type metals, and the primary example of those metals is silver."" Check: includes all facts. Yes. Make sure we don't add extra info. That's fine. Output only sentence(s)."
Id9,geography,,,1,Turčianske Teplice is the centre of Horný Šariš.,"We need to produce a fluent English sentence expressing the triple: Turčianske Teplice isCenterOf Horný Šariš. We must translate predicate ""isCenterOf"" to English: ""is the centre of"" or ""is the center of"". Use British/US? Use ""center"". The subject Turčianske Teplice is a place (proper name). Object Horný Šariš is also a place (proper name). So sentence: ""Turčianske Teplice is the centre of Horný Šariš."" Or ""Turčianske Teplice is the center of Horný Šariš."" We must not add any extra info. So output that sentence."
Id10,geography,,,2,Prešov has planned cooperation with Maďarsko and a planned project called Vodné Dielo Gabčíkovo.,"We need to produce fluent English prose expressing both triples. Triples: 1. Prešov plannedCooperationWith Maďarsko. So ""Prešov plans cooperation with Maďarsko."" Or ""Prešov has planned cooperation with Maďarsko."" 2. Prešov plannedProject Vodné Dielo Gabčíkovo. So ""Prešov has a planned project called Vodné Dielo Gabčíkovo."" Combine: ""Prešov has planned cooperation with Maďarsko and a project called Vodné Dielo Gabčíkovo."" Ensure all facts: plannedCooperationWith and plannedProject. Use ""planned"" as adjective. Could be two short sentences: ""Prešov has planned cooperation with Maďarsko. It also has a planned project, Vodné Dielo Gabčíkovo."" That includes both. We must not add extra info. Use proper names unchanged: Prešov, Maďarsko, Vodné Dielo Gabčíkovo. Let's output single sentence: ""Prešov has planned cooperation with Maďarsko and a planned project called Vodné Dielo Gabčíkovo."" That includes both. Ensure predicate translation: plannedCooperationWith -> ""has planned cooperation with"". plannedProject -> ""has a planned project called"". Good. Return only sentence."
