eid,category,shape,shape_type,size,sentence,reasoning
Id0,culture,,,1,Karel Plíhal je komponował za Moravské divadlo Olomouc.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact from the triple: subject ""Karel Plíhal"", predicate ""composedFor"", object ""Moravské divadlo Olomouc"". We must translate predicate to Upper Sorbian, and translate non-proper nouns. ""composedFor"" likely means ""composed for"". So we need a sentence: ""Karel Plíhal je komponował za Morawske dźiwadło Olomouc."" Need correct Upper Sorbian: ""Karel Plíhal je komponował za Morawske dźiwadło Olomouc."" Or ""Karel Plíhal je komponował za Morawske dźiwadło Olomouc."" The object is a proper name ""Moravské divadlo Olomouc"". Should we translate ""Moravské divadlo"" as ""Morawske dźiwadło""? Yes, it's a common noun phrase, but it's part of the proper name? The instruction: translate each entity that is not a proper name (e.g., common nouns, functions, general descriptions). Proper names remain original. ""Moravské divadlo Olomouc"" includes ""Moravské divadlo"" which is a generic term ""Moravian Theatre"". The whole phrase is a proper name of a theatre. Probably treat the whole as proper name? The instruction: ""Swójske mjena (mjena wosobow, městnow, organizacijow, dźěłow atd.) wostaj w originalnej formje."" So ""Moravské divadlo Olomouc"" is an organization name, so keep as is. So we keep ""Moravské divadlo Olomouc"". Then we need to translate predicate: ""composedFor"" -> ""komponował za"". In Upper Sorbian, ""komponował"" is past tense of ""komponować"". Could also be ""komponował za"". So sentence: ""Karel Plíhal je komponował za Moravské divadlo Olomouc."" Or ""Karel Plíhal je komponował za Moravské divadło Olomouc."" But ""divadlo"" is Czech; Upper Sorbian is ""dźiwadło"". But since it's part of proper name, keep original ""divadlo"". So final: ""Karel Plíhal je komponował za Moravské divadlo Olomouc."" We must output only the sentence(s). So one sentence."
Id1,culture,,,3,"Jana Petrů ma najwjetši hit, kotryž pochadźi z Starci na chmelu, a Starci na chmelu je muzikal.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. No extra facts. Translate entities that are not proper names. Predicates must be translated to Upper Sorbian and used naturally. Keep proper names unchanged. Triples: 1. Jana Petrů | hasHit | největší hit 2. největší hit | originatesFrom | Starci na chmelu 3. Starci na chmelu | isType | muzikál We need to produce a sentence(s) that convey these facts. Entities: ""Jana Petrů"" is a proper name, keep as is. ""největší hit"" is not a proper name? It's a phrase meaning ""the biggest hit"". It's not a proper name, so translate to Upper Sorbian. Upper Sorbian for ""největší hit"" maybe ""najwjetši hit"". Use ""hit"" maybe same? Could translate ""hit"" as ""hit"". Could be ""najwjetši hit"". ""Starci na chmelu"" is a title, likely proper name of a musical, keep as is. ""muzikál"" is a common noun, translate to Upper Sorbian ""muzikál"". Already in Czech? Upper Sorbian ""muzikal""? Actually Upper Sorbian for musical is ""muzikal"". Let's use ""muzikal"". Predicates: hasHit -> ""ma hit"" maybe ""ma najwjetši hit"". But we need to translate predicate to Upper Sorbian: ""hasHit"" => ""ma hit"". ""originatesFrom"" => ""pochadźi z"". ""isType"" => ""je typ"". But we need natural sentence. We can combine: ""Jana Petrů ma najwjetši hit, kotryž pochadźi z Starci na chmelu, a Starci na chmelu je muzikal."" Need to ensure translation of ""isType"" as ""je muzikal"" maybe ""je typ muzikala""? But ""isType"" means ""is a type of"". So ""Starci na chmelu je muzikal"". That conveys type. Thus produce one sentence: ""Jana Petrů ma najwjetši hit, kotryž pochadźi z Starci na chmelu, a Starci na chmelu je muzikal."" Check requirements: Use only facts. We used that Jana Petrů has the biggest hit, that the biggest hit originates from Starci na chmelu, and that Starci na chmelu is a musical. No extra facts. Good. We need to translate each entity not proper name: ""největší hit"" -> ""najwjetši hit"". ""Starci na chmelu"" is proper name, keep. ""muzikál"" -> ""muzikal"". Predicates: ""hasHit"" -> ""ma"", ""originatesFrom"" -> ""pochadźi z"", ""isType"" -> ""je"". Use natural. Thus final answer: one sentence."
Id2,politics,,,2,Ministryně zahraničí Spojených států ma mjeno Madeleine Albrightová a pochodźe z Česka.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Two triples: 1. Subject: ""Ministryně zahraničí Spojených států"" (Foreign Minister of the United States) | predicate: ""originCountry"" | object: ""Česko"" (Czech Republic) 2. Subject: same | predicate: ""name"" | object: ""Madeleine Albrightová"" We must translate predicate to Upper Sorbian, and translate non-proper nouns (common nouns) to Upper Sorbian. Proper names stay original. So we need a sentence that says: ""Ministryně zahraničí Spojených států, Madeleine Albrightová, pochadźe z Česka."" Or something similar. Need to use predicate translations: ""originCountry"" -> ""pochodźe z"" maybe ""pochodźe z kraju"" but we need to convey origin country. Could be ""pochodźe z"" (origin). ""name"" -> ""ma mjeno"" or ""ma mjeno"". But we need to incorporate both facts in one sentence or two sentences. Use only given facts. So we can say: ""Ministryně zahraničí Spojených států, Madeleine Albrightová, ma mjeno Madeleine Albrightová a pochodźe z Česka."" But that repeats name. Actually we need to state name and origin country. The subject is the same, so we can combine: ""Ministryně zahraničí Spojených států Madeleine Albrightová pochodźe z Česka."" Or ""Ministryně zahraničí Spojených států, Madeleine Albrightová, pochodźe z Česka."" That includes both facts: name and origin country. The predicate ""name"" is expressed by using the name directly, but we might need to include ""ma mjeno"". The instruction: translate predicate to Upper Sorbian and use it naturally. So we need to include the predicate ""name"" as ""ma mjeno"". So sentence: ""Ministryně zahraničí Spojených států ma mjeno Madeleine Albrightová a pochodźe z Česka."" That uses both predicates: ""ma mjeno"" (has name) and ""pochodźe z"" (origin country). That seems correct. Check translation: ""originCountry"" -> ""pochodźe z"". Could also be ""pochodźe z kraju"". But ""z Česka"" is fine. Thus output only the sentence."
Id3,culture,,,3,"Svátek svatého Mikuláše je zwjazany z rozdawanjom darow dźěćom, datum dźěłanja je 2026-12-05 a čas dźěłanja je wěčer.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Must translate predicate to Upper Sorbian and use it naturally. Entities that are not proper names should be translated. The subject is ""svátek svatého Mikuláše"" (proper name? It's a holiday name, likely proper, keep original). Predicates: associatedWith, celebrationDate, celebrationTime. Need to translate them: ""associatedWith"" -> ""zwjazany z"" or ""są wotpowěduje na""? Probably ""zwjazany z"". ""celebrationDate"" -> ""datum dźěła"" maybe ""datu dźěłanja""? Upper Sorbian for ""celebration date"" could be ""datu dźěłanja"". ""celebrationTime"" -> ""čas dźěłanja"". Use natural sentence: ""Svátek svatého Mikuláše je zwjazany z rozdawanjom darow dźěćom, datu dźěłanja je 2026-12-05 a čas dźěłanja je wěčer."" Need to keep numbers exactly. Use ""večer"" is already in triple, but it's Czech? Should translate ""večer"" to Upper Sorbian ""wěčer"". The object ""rozdávání dárků dětem"" translate: ""rozdawanje darow dźěćom"". So sentence: ""Svátek svatého Mikuláše je zwjazany z rozdawanjom darow dźěćom, datu dźěłanja je 2026-12-05 a čas dźěłanja je wěčer."" Ensure predicate translation: ""is associated with"" -> ""je zwjazany z"". ""celebrationDate"" -> ""datum dźěłanja"" but we used ""datu dźěłanja"". Might be okay. Use ""datum dźěłanja"". So: ""Svátek svatého Mikuláše je zwjazany z rozdawanjom darow dźěćom, datum dźěłanja je 2026-12-05 a čas dźěłanja je wěčer."" That uses all three triples. Provide only this sentence."
Id4,geography,,,1,Wodna nádrž Slapy je dźělom Vltavske Kaskády.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact from the triple: subject ""Vodní nádrž Slapy"", predicate ""isPartOf"", object ""Vltavské Kaskády"". Must translate predicate to Upper Sorbian, and translate non-proper nouns. Subject and object are proper names? ""Vodní nádrž Slapy"" is a name of a water reservoir, maybe proper name includes ""Slapy"". It's a phrase, but likely considered proper name? The instruction: translate each entity that is not a proper name (e.g., common nouns, functions, generic descriptions). Proper names (person names, city names, organization names, works) stay in original form. ""Vodní nádrž Slapy"" includes ""Vodní nádrž"" (water reservoir) which is generic, and ""Slapy"" is proper. Should we keep ""Slapy"" unchanged, but translate ""Vodní nádrž"" to Upper Sorbian ""wodna rezervoar""? Upper Sorbian for water reservoir: ""wodna rezervoar"" or ""wodna nádrž"". Probably ""wodna nádrž"". ""Vltavské Kaskády"" is a proper name (Vltava Cascades). Should we keep it unchanged? It's a proper name, so keep original. But maybe translate ""Kaskády"" generic? It's part of proper name. Keep as is. Predicate ""isPartOf"" translate to Upper Sorbian ""je dźělom"" or ""je dźělom z"". Common translation: ""je dźělom"" or ""je dźělom z"". Could be ""je dźělom"". Or ""je dźělom"" of. Might use ""je dźělom"" with ""z"". Example: ""X je dźělom Y"". So sentence: ""Wodna nádrž Slapy je dźělom Vltavskich Kaskad""? Need to keep object unchanged: ""Vltavské Kaskády"". Upper Sorbian plural? ""Vltavskich Kaskad"" is genitive. But we can keep original phrase unchanged, but need grammar? The instruction: translate predicate and use naturally in sentence. Might keep object unchanged but adjust case? Probably keep as is: ""Wodna nádrž Slapy je dźělom Vltavské Kaskády."" That seems okay. Thus output single sentence."
Id5,history,,,4,"Literatura, wutworiła wot disidentow, je na územju Čech, w časowym periodźe 1950‑01‑01 až 2000‑12‑31, a je nazwana samizdat.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Must not add any facts. Must translate predicate to Upper Sorbian and use it naturally. Also translate entities that are not proper names. Entities: ""literatura"" is likely a proper name? It's a common noun ""literature"". It's not a proper name, so translate to Upper Sorbian: ""literatura"". Already in Upper Sorbian? It's same. ""publishedBy"" predicate: translate to Upper Sorbian, maybe ""wutworił"" or ""wydźiła""? But need to convey ""published by"". Could be ""wutworił"" or ""wydźiła"". Use natural sentence: ""Literatura je wutworiła disidenti."" But need to keep subject ""literatura"". The triple: literature | publishedBy | dissidents. So ""Literatura je wutworiła wot disidentow""? Actually ""published by"" = ""wutworiła wot"". In Upper Sorbian, ""wutworił"" is ""to publish"". Could say ""Literatura je wutworiła wot disidentow."" Next triple: literature | location | území Čech. Translate ""location"" to ""lokacija"" or ""mjeno""? Upper Sorbian: ""lokacija"" maybe ""mjeno""? Could use ""lokacija"" as borrowed. Or ""lokacija"" is okay. So ""Literatura je na teritoriju Čech."" ""území Čech"" is proper name? ""Čech"" is proper? ""Čech"" is region, maybe proper, keep as is. So ""Literatura je na územju Čech."" Next triple: literature | timePeriod | 1950-01-01 2000-12-31. So ""Literatura je w časowym periodźe 1950-01-01 až 2000-12-31."" Next triple: literature | namedAs | samizdat. So ""Literatura je nazwana samizdat."" Combine into one or two sentences. Must not add facts. Use only given info. Could produce two sentences: one summarizing all. Example: ""Literatura, wutworiła wot disidentow, je na územju Čech, w časowym periodźe 1950-01-01 až 2000-12-31, a je nazwana samizdat."" That uses all predicates. Ensure each predicate translated: ""wutworiła wot"" for publishedBy, ""je na"" for location, ""w časowym periodźe"" for timePeriod, ""je nazwana"" for namedAs. Should be okay. Provide only the sentence(s)."
Id6,culture,,,3,"Jan Neruda je zwjazany z Malá Strana, ma dźěło tvorbu a ma žiwjenje.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. No extra facts. Translate each entity that is not a proper name. Predicates must be translated to Upper Sorbian and used naturally. Keep proper names unchanged. Triples: 1. Jan Neruda associatedWith Malá Strana 2. Jan Neruda hasWork tvorba 3. Jan Neruda hasLife život We need to produce a sentence(s) that convey these facts. Use Upper Sorbian. Entities: Jan Neruda (proper name) stays. Malá Strana (proper name) stays. ""tvorba"" is a noun meaning ""creation"" maybe work. It's not a proper name, so translate? Actually ""tvorba"" is already a word, maybe keep? It's a generic noun, but it's already in Czech? Should translate to Upper Sorbian: ""tworba""? Upper Sorbian for ""creation"" is ""tworba"". So we need to translate entity ""tvorba"" to Upper Sorbian: ""tworba"". ""život"" is ""life"" -> Upper Sorbian ""žiwjenje"". So we need to translate those nouns. Predicates: associatedWith -> ""je zwjazany z"" maybe ""je spjaty z"". hasWork -> ""ma dźěło"" or ""ma pracu"". But we need to use predicate translation. Could be ""ma dźěło"" (has work). hasLife -> ""ma žiwjenje"". Use natural sentence. We need to include all three facts. Could be one sentence: ""Jan Neruda je zwjazany z Malá Strana, ma dźěło (tworba) a ma žiwjenje."" But need to translate ""tvorba"" to Upper Sorbian ""tworba"". So ""ma dźěło – tworbu""? Actually ""hasWork"" could be ""ma dźěło"" and then object ""tworba"". So ""ma dźěło tvorbu"". Use proper case: ""ma dźěło tvorbu"". For life: ""ma žiwjenje"". So final sentence: ""Jan Neruda je zwjazany z Malá Strana, ma dźěło tvorbu a ma žiwjenje."" Check translation: ""zwjazany z"" is okay. Could also be ""je spjaty z"". Use ""zwjazany"". Good. We must not add any other facts. So sentence includes exactly those three. Provide only the sentence(s). Probably one sentence is fine. Thus output: ""Jan Neruda je zwjazany z Malá Strana, ma dźěło tvorbu a ma žiwjenje."""
Id7,geography,,,1,Prachovské skály se nachadaja w CHKO Český ráj.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triple: subject ""Prachovské skály"", predicate ""locatedIn"", object ""CHKO Český ráj"". Must translate predicate to Upper Sorbian, and translate non-proper nouns. Subject and object are proper names, so keep original. Predicate ""locatedIn"" => ""se nachada w"" or ""je w"". In Upper Sorbian, ""se nachada w"" means ""is located in"". So sentence: ""Prachovské skály se nachadaja w CHKO Český ráj."" Need correct grammar: plural? ""Prachovské skály"" is plural (skály). So verb should be plural: ""se nachadaja"". Use ""w"" for ""in"". So final answer: one sentence."
Id8,culture,,,5,"Karel Gott ma narodnosć čěšćanska, je pěwak a ma licbu nagród 1, a to je nagrada Zlatý slavík. Zlatý slavík ma najwjace razow jako cestota nagradowanja.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) that expresses all facts given, using only the information in triples. No extra facts. Must translate each entity that is not a proper name into Upper Sorbian. Proper names stay original. Predicates must be translated to Upper Sorbian and used naturally. Triples: 1. Karel Gott | nationality | český 2. Karel Gott | profession | zpěvák 3. Karel Gott | award | Zlatý slavík 4. Karel Gott | awardCount | 1 5. Zlatý slavík | awardFrequency | nejvíckrát We need to express: Karel Gott is Czech, is a singer, has received the award Zlatý slavík, award count 1, and the award Zlatý slavík is awarded most often (or ""most frequently""). We must not add any facts not present. So we cannot say ""Karel Gott is a Czech singer"" is okay because we combine nationality and profession. That's fine. Also we can say ""He has received the award Zlatý slavík once."" That's okay. And ""Zlatý slavík is awarded most often."" That is the awardFrequency fact. We need to translate non-proper nouns: nationality -> ""narodnosć""? In Upper Sorbian, ""nationality"" = ""narodnosć"". ""Czech"" = ""čěšćina""? Actually ""čěšćina"" is Czech (adjective). But we need to translate ""český"" to Upper Sorbian: ""čěšćanski""? Might be ""čěšćanski"". Profession -> ""přijimanje""? No, ""profession"" = ""přijimanje""? Actually ""profesija"" maybe ""přijimanje""? In Upper Sorbian, ""profession"" = ""přijimanje""? I'm not entirely sure. Could use ""přijimanje"" or ""přijimanje""? Another term: ""přijimanje"" is ""occupation"". Could use ""přijimanje"". Singer = ""pěwak"". Award = ""nagród"". ""Zlatý slavík"" is proper name, keep. awardCount = ""licba nagród""? ""awardCount"" -> ""licba nagród"". Value 1 stays ""1"". awardFrequency = ""cestota nagradźenja""? Actually ""awardFrequency"" meaning ""most often"". The triple says ""Zlatý slavík | awardFrequency | nejvíckrát"". So we need to translate ""awardFrequency"" to Upper Sorbian: maybe ""cestota nagradźenja"". And ""nejvíckrát"" = ""najwjace razow""? Actually ""nejvíckrát"" is Czech for ""most often"". Upper Sorbian ""najwjace razow"". So we can say ""Zlatý slavík je nagrada, kotraž so najwjace razow dźěje."" But we must use predicate translation: ""awardFrequency"" -> ""cestota nagradźenja"". So we could phrase: ""Zlatý slavík ma najwjace razow jako cestu nagradźenja."" Might be awkward. We need to produce a natural sentence(s). Could be two sentences: one about Karel Gott, one about Zlatý slavík. Sentence about Karel Gott: ""Karel Gott je čěšćanski a je pěwak, ma jedynu nagrodu Zlatý slavík."" Need to include awardCount 1. So ""ma jedynu nagrodu"" (one award). Use ""awardCount"" translation: ""licba nagród"". Could say ""ma licbu nagród 1"". But better natural: ""ma jedynu nagrodu"". That's derived from count, but we must not add facts not in triple. The triple says awardCount 1, so saying ""ma jedynu nagrodu"" is consistent. It's not adding new info. It's okay. Now about Zlatý slavík: ""Zlatý slavík ma najwjace razow jako cestu nagradźenja."" Or ""Zlatý slavík je nagrada, kotraž so najwjace razow dźěje."" Use predicate translation: ""awardFrequency"" -> ""cestota nagradźenja"". So we could say ""Zlatý slavík ma najwjace razow jako cestu nagradźenja."" Might be okay. We must ensure we translate predicate words: nationality -> ""narodnosć"". profession -> ""profesija""? Let's pick ""profesija"". Singer -> ""pěwak"". award -> ""nagra"" maybe ""nagra"". awardCount -> ""licba nagród"". awardFrequency -> ""cestota nagradźenja"". And ""nejvíckrát"" -> ""najwjace razow"". Use these. Construct sentence: ""Karel Gott ma narodnosć čěšćanska, je pěwak a ma licbu nagród 1 (Zlatý slavík)."" But we need to mention the award name. Could say ""ma licbu nagród 1, a to je nagrada Zlatý slavík."" That uses awardCount and award. Better: ""Karel Gott ma narodnosć čěšćanska, je pěwak a ma jedynu nagrodu, a to je Zlatý slavík."" This uses awardCount implicitly. But we must not add ""jedynu"" if not directly given; but awardCount 1 implies one. It's okay. Now second sentence: ""Zlatý slavík ma najwjace razow jako cestu nagradźenja."" That uses awardFrequency. Make sure we translate predicate words: ""ma"" is verb ""has"". That's fine. We need to keep proper names unchanged: Karel Gott, Zlatý slavík. Thus final output: maybe two sentences. Let's produce: ""Karel Gott ma narodnosć čěšćanska, je pěwak a ma licbu nagród 1, a to je nagrada Zlatý slavík. Zlatý slavík ma najwjace razow jako cestu nagradźenja."" Check: ""licbu nagród 1"" maybe unnatural but okay. Could also say ""licbu nagród 1"". It's literal. Thus final answer."
Id9,culture,,,2,Oldřich Kaiser wutwori komediowy duo z Jiří Lábus a su prawda njespadne.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Two triples: 1. Subject: Oldřich Kaiser | predicate: formsComedyDuoWith | object: Jiří Lábus 2. Subject: Oldřich Kaiser Jiří Lábus | predicate: areInseparable | object: true Note: The second triple's subject is ""Oldřich Kaiser Jiří Lábus"". That seems like a combined entity (the duo). Predicate ""areInseparable"" with object true. We must translate predicate to Upper Sorbian, and translate non-proper nouns. The predicate ""formsComedyDuoWith"" -> something like ""wutwori komediowy duo z"". The object ""Jiří Lábus"" stays as is. The subject ""Oldřich Kaiser"" stays as is. Second triple: subject ""Oldřich Kaiser Jiří Lábus"" is a combined name? It's not a proper name? It seems like a phrase combining two names, but it's likely a group name. Since it's not a standard proper name, maybe treat as a phrase? The rule: translate each entity that is not a proper name. ""Oldřich Kaiser Jiří Lábus"" is a combination of proper names, but the whole phrase is not a proper name? Might keep as is? Probably keep as is because it's just the duo name composed of two proper names. But it's not a single proper name; it's a phrase of two proper names. The rule: ""Přełož do hornjoserbšćiny kóždu entitu, kotraž njeje swójske mjeno (na př. powšitkowne substantiwy, funkcije, powšitkowne wopisanja). Swójske mjena (mjena wosobow, městnow, organizacijow, dźěłow atd.) wostaj w originalnej formje."" So proper names stay unchanged. ""Oldřich Kaiser Jiří Lábus"" is not a proper name but a concatenation of proper names. Might treat each proper name unchanged, but the phrase as a whole is not a proper noun, but it's a group name. Could translate ""areInseparable"" -> ""su njespadne"" or ""su njespadne"". The object true -> ""true"" maybe we translate to ""true"" as ""true""? Should we keep ""true""? It's a boolean value, not a proper name. Should we translate ""true"" to Upper Sorbian ""prawda"" or ""true""? Probably keep as ""true""? The instruction: translate each entity that is not a proper name. So ""true"" is not a proper name, so translate to Upper Sorbian. Upper Sorbian for true is ""prawda"" or ""wěrny""? I'd say ""prawda"". So we can say ""su prawda"". But we need a natural sentence: ""Oldřich Kaiser a Jiří Lábus su njespadne."" Or ""Oldřich Kaiser a Jiří Lábus su njespadne."" Use ""su njespadne"" meaning ""are inseparable"". Or ""su njespadne"" is okay. Combine both facts: ""Oldřich Kaiser wutwori komediowy duo z Jiří Lábus a su njespadne."" That uses both triples. Ensure we only use given info. Yes. We must not add any extra facts. The sentence says Oldřich Kaiser forms a comedy duo with Jiří Lábus and they are inseparable. That's exactly the two triples. Thus output one sentence in Upper Sorbian."
