eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal je komponovao za Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů je imala největší hit, a největší hit je iz Starci na chmelu, a Starci na chmelu je tip muzikál."
Id2,politics,,,2,Ministryně zahraničí Spojených států je iz Česko. Ministryně zahraničí Spojených států je Madeleine Albrightová.
Id3,culture,,,3,"Svátek svatého Mikuláše je povezan sa rozdávaním dárků dětem, a jeho oslava je v roku 2026-12-05 večer."
Id4,geography,,,1,Slapy je deo Vltavské Kaskády.
Id5,history,,,4,"Literatura je objavljena od strane disidenti, nalazi se u územiu Čech, obuhvata period od 1950-01-01 do 2000-12-31 i nazvana je samizdat."
Id6,culture,,,3,Jan Neruda je povezan sa Malom Stranom. Jan Neruda ima stvaranje. Jan Neruda ima život.
Id7,geography,,,1,Prachovské skály su u CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák. Karel Gott je obdržel Zlatý slavík, a to jednou. Zlatý slavík je obdržán nejvíckrát."
Id9,culture,,,2,Oldřich Kaiser i Jiří Lábus su u duetu komedije. Oldřich Kaiser i Jiří Lábus su neraskidljivi.
Id10,geography,,,1,Kladensko je rudnik uglja.
Id11,politics,,,1,Miroslava Němcová je član ODS.
Id12,history,,,1,Barrandovské filmové ateliéry je osnovan od Miloš Havel.
Id13,geography,,,2,Nejviši bod Krkonoš je 1603 i taj je dio Krkonoše.
Id14,history,,,1,Bitka u Slavkova se desila tokom Napoleonovih ratova.
Id15,history,,,2,"Most je istorijsko grad, a razlog za rušenje je rudnik uglja, a rudnik uglja je tip resursa ugljen."
Id16,culture,,,6,"Třebíč ima štít, a štít ima tři vodorovná pole. Horní pole ima červená boja, dolní pole ima červená boja, a střední pole ima bílá boja. Střední pole sadrži tři černé benediktinské kápě."
Id17,geography,,,2,"Zlín je u dolini Dřevnice, a Dřevnice je reka."
Id18,geography,,,2,Slanska gora je u Slanju. Slanska gora je Slanska gora.
Id19,geography,,,1,Těžba uhlí izaziva probleme u Karviné.
Id20,history,,,2,Kolín ima židovsku manjinu. Židovska manjina je religijska manjina.
Id21,geography,,,2,Císařský ostrov je najväčši ostrov v Prahe i je ostrov.
Id22,sports,,,1,Kladno je poznat za hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky je u Palackého náměstí.
Id24,sports,,,2,"Petr Mach je vlasnik Sparta, a Sparta je fudbalski klub."
